title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date,Title Product,Title Note,Assignment,Product Name,Patent No.,Company,Reg Rev Period,Testing Phase,Approval Phase,IND/IDE Filing Date,NDA/PMA Filing Date,Approval Date,Application No.,Pat Term Ext
Determination of Regulatory Review Period for Purposes of Patent Extension; RisperdalRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Risperdal<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21284,https://www.federalregister.gov/documents/1994/08/30/94-21284/determination-of-regulatory-review-period-for-purposes-of-patent-extension-risperdalregister,,1994-08-30, RisperdalRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZosynRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zosyn<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-21286,https://www.federalregister.gov/documents/1994/08/30/94-21286/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zosynregister,,1994-08-30, ZosynRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AviaxRegister,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Aviax<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that animal drug product.",,94-21789,https://www.federalregister.gov/documents/1994/09/06/94-21789/determination-of-regulatory-review-period-for-purposes-of-patent-extension-aviaxregister,,1994-09-06, AviaxRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; PrografSUPTM,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Prograf<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-22036,https://www.federalregister.gov/documents/1994/09/07/94-22036/determination-of-regulatory-review-period-for-purposes-of-patent-extension-prografsuptm,,1994-09-07, PrografSUPTM,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZemuronSUPTM Injection,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zemuron<SUP>TM Injection and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-22760,https://www.federalregister.gov/documents/1994/09/15/94-22760/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zemuronsuptm-injection,,1994-09-15, ZemuronSUPTM Injection,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SemprexSUPTM-D Capsules,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Semprex<SUP>TM-D Capsules and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-23276,https://www.federalregister.gov/documents/1994/09/21/94-23276/determination-of-regulatory-review-period-for-purposes-of-patent-extension-semprexsuptm-d-capsules,,1994-09-21, SemprexSUPTM-D Capsules,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Netrexingreek-Tgreek-M,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,,,X94-41005,https://www.federalregister.gov/documents/1994/10/05/X94-41005/determination-of-regulatory-review-period-for-purposes-of-patent-extension-netrexingreek-tgreek-m,,1994-10-05, Netrexingreek-Tgreek-M,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeurontinRegister,Uncategorized Document,Health and Human Services Department; Food and Drug Administration,,,X94-51005,https://www.federalregister.gov/documents/1994/10/05/X94-51005/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neurontinregister,,1994-10-05, NeurontinRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; CPIRegister VentakRegister PRxRegister AICD System,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for CPI<Register> Ventak<Register> PRx<Register> AICD System and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",,94-28064,https://www.federalregister.gov/documents/1994/11/15/94-28064/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cpiregister,,1994-11-15, CPIRegister VentakRegister PRxRegister AICD System,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZeritRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Zerit<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-28194,https://www.federalregister.gov/documents/1994/11/16/94-28194/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zeritregister,,1994-11-16, ZeritRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period For Purposes of Patent Extension; CognexRegister,Uncategorized Document,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Cognex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",,94-30235,https://www.federalregister.gov/documents/1994/12/08/94-30235/determination-of-regulatory-review-period-for-purposes-of-patent-extension-cognexregister,,1994-12-08, CognexRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZemuronSUPTM Injection; Correction,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting the notice that appeared in the Federal Register of September 15, 1994. The document announced FDA's determination of the regulatory review period for purposes of patent extension for Zeuron<SUP>TM Injection (rocuronium bromide). The document was published with some errors. The document incorrectly stated: ``1. The date an exemption under section 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: January 15, 1994. The applicant claims January 14, 1989, as [[Page 130]] the date the investigational new drug application (IND) became effective. However, FDA records indicate that the IND effective date was January 15, 1994, which was 30 days after FDA receipt of the IND.'' The document should have stated: ``1. The date an exemption under section 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: January 15, 1989. The applicant claims January 14, 1989, as the date the investigational new drug application (IND) became effective. However, FDA records indicate that the IND effective date was January 15, 1989, which was 30 days after FDA receipt of the IND.'' This document corrects those errors.",60 FR 129,94-32242,https://www.federalregister.gov/documents/1995/01/03/94-32242/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zemuronsuptm-injection,https://www.govinfo.gov/content/pkg/FR-1995-01-03/pdf/94-32242.pdf,1995-01-03, ZemuronSUPTM Injection, Correction,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NetrexinSUPTM,Correction,Health and Human Services Department; Food and Drug Administration,,60 FR 5252,X95-50126,https://www.federalregister.gov/documents/1995/01/26/X95-50126/determination-of-regulatory-review-period-for-purposes-of-patent-extension-netrexinsuptm,https://www.govinfo.gov/content/pkg/FR-1995-01-26/pdf/X95-50126.pdf,1995-01-26, NetrexinSUPTM,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; AlbunexRegister,Notice,Health and Human Services Department; Food and Drug Administration,"The Food and Drug Administration (FDA) has determined the regulatory review period for Albunex<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",60 FR 11671,95-5183,https://www.federalregister.gov/documents/1995/03/02/95-5183/determination-of-regulatory-review-period-for-purposes-of-patent-extension-albunexregister,https://www.govinfo.gov/content/pkg/FR-1995-03-02/pdf/95-5183.pdf,1995-03-02, AlbunexRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SemprexSUPTM-D Capsules,Correction,Health and Human Services Department; Food and Drug Administration,,60 FR 15822,X95-30327,https://www.federalregister.gov/documents/1995/03/27/X95-30327/determination-of-regulatory-review-period-for-purposes-of-patent-extension-semprexsuptm-d-capsules,https://www.govinfo.gov/content/pkg/FR-1995-03-27/pdf/X95-30327.pdf,1995-03-27, SemprexSUPTM-D Capsules,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LUVOXSUPTM,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for LUVOX<SUP>TM and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 20105,95-10073,https://www.federalregister.gov/documents/1995/04/24/95-10073/determination-of-regulatory-review-period-for-purposes-of-patent-extension-luvoxsuptm,https://www.govinfo.gov/content/pkg/FR-1995-04-24/pdf/95-10073.pdf,1995-04-24, LUVOXSUPTM,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; SERZONERegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for SERZONE<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 20106,95-10077,https://www.federalregister.gov/documents/1995/04/24/95-10077/determination-of-regulatory-review-period-for-purposes-of-patent-extension-serzoneregister,https://www.govinfo.gov/content/pkg/FR-1995-04-24/pdf/95-10077.pdf,1995-04-24, SERZONERegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; ZosynRegister; Correction,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) is correcting the notice that appeared in the Federal Register of August 30, 1994. The document announced FDA's determination of the regulatory review period for purposes of patent extension for Zosyn<Register> (tazobactam sodium and piperacillin sodium). The document was published with some errors. The document incorrectly stated: FDA has determined that the applicable regulatory review period for Zosyn<Register> is 1,819 days. Of this time, 1,038 days occurred during the testing phase of the regulatory review period, while 781 days occurred during the approval phase. 1. The date an exemption under 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: October 31, 1988. The applicant claims July 10, 1988, as the date the investigational new drug application (IND) for Zosyn<Register> (IND 31,705) became effective. However, IND 31,705 was received on June 14, 1988, and it was placed on clinical hold on July 1, 1988. It was removed from clinical hold on October 31, 1988, making the IND effective date October 31, 1988. It should have stated: FDA has determined that the applicable regulatory review period for Zosyn<Register> is 1,906 days. Of this time, 1,125 days occurred during the testing phase of the regulatory review period, while 781 days occurred during the approval phase. 1. The date an exemption under 505(i) of the Federal Food, Drug, and Cosmetic Act became effective: August 5, 1988. The applicant claims July 10, 1988, as the date the investigational new drug application (IND) for Zosyn<Register> (IND 31,705) became effective. However, IND 31,705 was received on June 14, 1988, and it was placed on clinical hold on July 1, 1988. It was removed from clinical hold on August 5, 1988, making the IND effective date August 5, 1988. This document corrects those errors. FOR FURTHER INFORMATION CONTACT: Brian J. Malkin, Office of Health Affairs (HFY-20), Food and Drug Administration, 5600 Fishers Lane, Rockville, MD 20857, 301-443-1382.",60 FR 20107,95-10074,https://www.federalregister.gov/documents/1995/04/24/95-10074/determination-of-regulatory-review-period-for-purposes-of-patent-extension-zosynregister-correction,https://www.govinfo.gov/content/pkg/FR-1995-04-24/pdf/95-10074.pdf,1995-04-24, ZosynRegister, Correction,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; Sonic Accelerated Fracture Healing System (SAFHSRegister),Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for SAFHS<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that medical device.",60 FR 20107,95-10076,https://www.federalregister.gov/documents/1995/04/24/95-10076/determination-of-regulatory-review-period-for-purposes-of-patent-extension-sonic-accelerated,https://www.govinfo.gov/content/pkg/FR-1995-04-24/pdf/95-10076.pdf,1995-04-24, Sonic Accelerated Fracture Healing System (SAFHSRegister),,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; FRAGMINRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for FRAGMIN<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 27981,95-13032,https://www.federalregister.gov/documents/1995/05/26/95-13032/determination-of-regulatory-review-period-for-purposes-of-patent-extension-fragminregister,https://www.govinfo.gov/content/pkg/FR-1995-05-26/pdf/95-13032.pdf,1995-05-26, FRAGMINRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NeuroliteRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for Neurolite<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 27982,95-13033,https://www.federalregister.gov/documents/1995/05/26/95-13033/determination-of-regulatory-review-period-for-purposes-of-patent-extension-neuroliteregister,https://www.govinfo.gov/content/pkg/FR-1995-05-26/pdf/95-13033.pdf,1995-05-26, NeuroliteRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; RENORMAXRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for RENORMAX<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 36291,95-17345,https://www.federalregister.gov/documents/1995/07/14/95-17345/determination-of-regulatory-review-period-for-purposes-of-patent-extension-renormaxregister,https://www.govinfo.gov/content/pkg/FR-1995-07-14/pdf/95-17345.pdf,1995-07-14, RENORMAXRegister,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; NAVELBINERegister Injection,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for NAVELBINE<Register> Injection and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 36812,95-17503,https://www.federalregister.gov/documents/1995/07/18/95-17503/determination-of-regulatory-review-period-for-purposes-of-patent-extension-navelbineregister,https://www.govinfo.gov/content/pkg/FR-1995-07-18/pdf/95-17503.pdf,1995-07-18, NAVELBINERegister Injection,,n/a,,,,,,,,,,,
Determination of Regulatory Review Period for Purposes of Patent Extension; LAMICTALRegister,Notice,Health and Human Services Department,"The Food and Drug Administration (FDA) has determined the regulatory review period for LAMICTAL<Register> and is publishing this notice of that determination as required by law. FDA has made the determination because of the submission of an application to the Commissioner of Patents and Trademarks, Department of Commerce, for the extension of a patent which claims that human drug product.",60 FR 36813,95-17504,https://www.federalregister.gov/documents/1995/07/18/95-17504/determination-of-regulatory-review-period-for-purposes-of-patent-extension-lamictalregister,https://www.govinfo.gov/content/pkg/FR-1995-07-18/pdf/95-17504.pdf,1995-07-18, LAMICTALRegister,,n/a,,,,,,,,,,,
